BinaryTC1	BinaryTC2	BinaryTC3	BinaryTC4	HexTC1	HexTC2	HexTC3	HexTC4
100011100000101101010000	000100000101010110100000	000000000000000000100011		0x8e0b50	0x1055a0	0x23	
010100000101101011111010	100000011111101011011000	000000000000000000011010		0x505afa	0x81fad8	0x1a	
001111100111100110000100	011000010101001111100110	111111111111111111011101		0x3e7984	0x6153e6	-0x23	
000110101100001111000111	011101100101100111100010	111111111111111111010110		0x1ac3c7	0x7659e2	-0x2a	
010110010110111100001100	011011001000010001010111	000000000000000000001110		0x596f0c	0x6c8457	0xe	
010001000011101000100001	001010001111101111001001	111111111111111111111101		0x443a21	0x28fbc9	-0x3	
100001101010110011000100	000010010110110111011010	000000000000000000010110		0x86acc4	0x96dda	0x16	
011100011111100100001101	000000111100001000001000	111111111111111111010001		0x71f90d	0x3c208	-0x2f	
000111100001101110110100	010111001011010000110010	000000000000000000001100		0x1e1bb4	0x5cb432	0xc	
000000001100111110011001	000011110010000001011011	111111111111111111101111		0xcf99	0xf205b	-0x11	
001110110111100010100100	011001110000111110011010	111111111111111111100001		0x3b78a4	0x670f9a	-0x1f	
011101101001110011001010	001011110101100111001010	111111111111111111100111		0x769cca	0x2f59ca	-0x19	
010111001110110001100101	001100010100010010101010	111111111111111111011101		0x5cec65	0x3144aa	-0x23	
010000000111000111000000	011001111000111000111111	111111111111111111101110		0x4071c0	0x678e3f	-0x12	
100101001111001111011000	010100010101000010111101	000000000000000000001110		0x94f3d8	0x5150bd	0xe	
011110010000001110101111	001000111001111110110111	000000000000000000100101		0x7903af	0x239fb7	0x25	
001101101110010010110111	011011101010110110010100	111111111111111111111000		0x36e4b7	0x6ead94	-0x8	
100011011111001110100100	011000110111000011011001	111111111111111111010111		0x8df3a4	0x6370d9	-0x29	
001000101110110001001000	010110110010001011110101	111111111111111111001110		0x22ec48	0x5b22f5	-0x32	
000000110000001001000011	010110001110110111000101	111111111111111111110111		0x30243	0x58edc5	-0x9	
010100000101110111111011	011001010101101001011001	000000000000000000000010		0x505dfb	0x655a59	0x2	
000000110110000101101001	001001110000111011010011	000000000000000000001100		0x36169	0x270ed3	0xc	
011110010110101000100011	011001001010101111111111	111111111111111111011001		0x796a23	0x64abff	-0x27	
001100001100000111100001	010110001110011010011010	111111111111111111101111		0x30c1e1	0x58e69a	-0x11	
011011000110111011011101	010001101101011000011111	000000000000000000000000		0x6c6edd	0x46d61f	0x0	
100100101111111000100000	000111000110110011110100	000000000000000000011011		0x92fe20	0x1c6cf4	0x1b	
100101000011100000101000	010111000010100001010011	000000000000000000011100		0x943828	0x5c2853	0x1c	
000000010110011100010101	001100110100000000011000	000000000000000000101101		0x16715	0x334018	0x2d	
010000110110110001111110	010010111100001110000001	111111111111111111010100		0x436c7e	0x4bc381	-0x2c	
100100111011110101001010	011001010000100100100011	000000000000000000011100		0x93bd4a	0x650923	0x1c	
001001110110110100010000	001100101110011111011001	000000000000000000100011		0x276d10	0x32e7d9	0x23	
010010111111100110110110	000011111111000100000111	111111111111111111011111		0x4bf9b6	0xff107	-0x21	
010111111101011011111010	010111101010000010000101	000000000000000000101011		0x5fd6fa	0x5ea085	0x2b	
000100101011111101000010	011000000001011000001100	111111111111111111111100		0x12bf42	0x60160c	-0x4	
000010101100001111101110	000011011000001110101110	000000000000000000010111		0xac3ee	0xd83ae	0x17	
000011111000011100110101	100000100110101001001011	111111111111111111001111		0xf8735	0x826a4b	-0x31	
000001111010000110000010	011001011111110100010011	000000000000000000110001		0x7a182	0x65fd13	0x31	
011011100000011011100111	011010111100101110011000	111111111111111111111001		0x6e06e7	0x6bcb98	-0x7	
010000001101110100010010	001101000101011010000101	111111111111111111011010		0x40dd12	0x345685	-0x26	
001111011101111111110100	100101001111110100011010	111111111111111111010011		0x3ddff4	0x94fd1a	-0x2d	
001010100000011011000000	100101111111010011001101	000000000000000000000101		0x2a06c0	0x97f4cd	0x5	
000001101110100110000111	000011110101100111000110	111111111111111111101011		0x6e987	0xf59c6	-0x15	
011010000011110101100010	010100001000001101010000	000000000000000000011010		0x683d62	0x508350	0x1a	
000000110010101100010100	100001110111000011001000	111111111111111111111110		0x32b14	0x8770c8	-0x2	
011011110001011111111011	001100110101011100101000	111111111111111111101000		0x6f17fb	0x335728	-0x18	
001100100111110110001001	001101100000010000001011	000000000000000000000110		0x327d89	0x36040b	0x6	
010000011010101011010010	001011011101010111010001	111111111111111111010011		0x41aad2	0x2dd5d1	-0x2d	
011111111100101100001111	010001000110001001100010	111111111111111111111100		0x7fcb0f	0x446262	-0x4	
000101100011111100101000	100010011110000000000101	000000000000000000001111		0x163f28	0x89e005	0xf	
010011110100111100111001	001110010111101011101101	000000000000000000000000		0x4f4f39	0x397aed	0x0	
001011111111101010110011	010011000011001101101101	111111111111111111101111		0x2ffab3	0x4c336d	-0x11	
011001011101011011011010	100001001011101000001001	111111111111111111011101		0x65d6da	0x84ba09	-0x23	
001010010001010000001010	010001101001100001000101	000000000000000000101011		0x29140a	0x469845	0x2b	
001000101011110110100001	000110101100100011011000	000000000000000000101101		0x22bda1	0x1ac8d8	0x2d	
000111011001110111101011	001010100000101100001100	111111111111111111011101		0x1d9deb	0x2a0b0c	-0x23	
001100100010110011001000	010011101001011110011000	111111111111111111111000		0x322cc8	0x4e9798	-0x8	
010010011000101101011011	100011101001100010010001	000000000000000000011100		0x498b5b	0x8e9891	0x1c	
100011111110011111011101	000011001111010000110100	000000000000000000101111		0x8fe7dd	0xcf434	0x2f	
001111001110100111010011	001010010101010100001100	000000000000000000100010		0x3ce9d3	0x29550c	0x22	
011111001110001111001110	011111111100000011100011	111111111111111111101000		0x7ce3ce	0x7fc0e3	-0x18	
001010110111010011100111	001101011100000111000111	111111111111111111010110		0x2b74e7	0x35c1c7	-0x2a	
011110000110100001010001	001010000000101100011011	111111111111111111110011		0x786851	0x280b1b	-0xd	
000011011011101111110010	100001100011010011010100	000000000000000000001110		0xdbbf2	0x8634d4	0xe	
000110111111001001101100	001000110101111100010100	111111111111111111010011		0x1bf26c	0x235f14	-0x2d	
100000001001101011011101	010010000111111000001101	111111111111111111011101		0x809add	0x487e0d	-0x23	
001011000101011010011000	001110011000100011100101	000000000000000000011011		0x2c5698	0x3988e5	0x1b	
100101001111100100110001	000100000001001010101000	111111111111111111110100		0x94f931	0x1012a8	-0xc	
000000111110111101100010	000011001011011100011011	111111111111111111101101		0x3ef62	0xcb71b	-0x13	
010001111011011001110001	010001101010111111001110	111111111111111111101100		0x47b671	0x46afce	-0x14	
000001010111110001110101	001000011100010000110101	111111111111111111110010		0x57c75	0x21c435	-0xe	
001101001001010110000110	010011010001101100000101	000000000000000000010100		0x349586	0x4d1b05	0x14	
010000001100110100100010	000001100100101000111010	000000000000000000011110		0x40cd22	0x64a3a	0x1e	
000111000011011000001000	010010101100101010111100	000000000000000000001100		0x1c3608	0x4acabc	0xc	
000011100101000111110000	010011011011110011001110	111111111111111111011100		0xe51f0	0x4dbcce	-0x24	
000000110111100010001001	011110110010010010001101	111111111111111111010001		0x37889	0x7b248d	-0x2f	
001110111101111000100000	011010000111110110100001	111111111111111111100101		0x3bde20	0x687da1	-0x1b	
100010000000101011110001	010000011100101100010000	111111111111111111111101		0x880af1	0x41cb10	-0x3	
010000011100000001100110	001011011110101110001101	000000000000000000000110		0x41c066	0x2deb8d	0x6	
001110110110000000110011	000110001101101110110001	000000000000000000100100		0x3b6033	0x18dbb1	0x24	
100000111010011011110100	100000001010100100011011	000000000000000000001001		0x83a6f4	0x80a91b	0x9	
010110011100101011000101	011100111011001011111000	111111111111111111110000		0x59cac5	0x73b2f8	-0x10	
000110010101000110110110	011011111110000100110011	000000000000000000100100		0x1951b6	0x6fe133	0x24	
000110111111111101100111	000001001100101101000111	111111111111111111100101		0x1bff67	0x4cb47	-0x1b	
001100111010110101111111	011101000111011010111000	000000000000000000000111		0x33ad7f	0x7476b8	0x7	
001011011100011101100110	011111001000100000101111	111111111111111111111010		0x2dc766	0x7c882f	-0x6	
100010110110011000001010	011010100011011110111111	111111111111111111111011		0x8b660a	0x6a37bf	-0x5	
010010100100110010001100	011010010100001001101010	000000000000000000000101		0x4a4c8c	0x69426a	0x5	
000000010010101100000110	100101001100001100110111	000000000000000000101111		0x12b06	0x94c337	0x2f	
000001101001100010001111	010000111000111010011011	000000000000000000010111		0x6988f	0x438e9b	0x17	
000000111101010010010100	010000101010100110111101	111111111111111111010000		0x3d494	0x42a9bd	-0x30	
011010110000111100011010	011000100100000110010110	111111111111111111101000		0x6b0f1a	0x624196	-0x18	
011010010011100111100011	011000101100011110000011	000000000000000000101000		0x6939e3	0x62c783	0x28	
011111111111011100101110	011000100101110010101001	111111111111111111111100		0x7ff72e	0x625ca9	-0x4	
100000111100101011011011	100101011101001011010100	111111111111111111101110		0x83cadb	0x95d2d4	-0x12	
000011100100101100000001	100100000000001101110101	111111111111111111101101		0xe4b01	0x900375	-0x13	
011001001011110110111111	001010101101111010011011	000000000000000000001110		0x64bdbf	0x2ade9b	0xe	
000101011100111010111101	001101001100110011010000	000000000000000000001111		0x15cebd	0x34ccd0	0xf	
100000000001100110000010	100000001010010100111000	000000000000000000000001		0x801982	0x80a538	0x1	
010111011001010001001001	100101010010011011000001	000000000000000000011000		0x5d9449	0x9526c1	0x18	
010110101001011100010101	100100011110001000011011	111111111111111111110111		0x5a9715	0x91e21b	-0x9	
001010111110110001110010	001101001000000001011100	111111111111111111001110		0x2bec72	0x34805c	-0x32	
000000100110110010100101	011010111001111111001111	000000000000000000010010		0x26ca5	0x6b9fcf	0x12	
001001010100001011100101	000001000110001010100110	000000000000000000001111		0x2542e5	0x462a6	0xf	
010110100100000010101010	001111011011001101111100	000000000000000000011110		0x5a40aa	0x3db37c	0x1e	
001111010000011000101000	001011001110101101001100	000000000000000000101100		0x3d0628	0x2ceb4c	0x2c	
001011111111010011110001	100010011100110100110010	000000000000000000001001		0x2ff4f1	0x89cd32	0x9	
011111000110000001110111	011100110000001110000100	000000000000000000010011		0x7c6077	0x730384	0x13	
010011101000101110101100	011011011110101101001001	000000000000000000100001		0x4e8bac	0x6deb49	0x21	
010001100001111010101110	010101100000110011101000	000000000000000000101001		0x461eae	0x560ce8	0x29	
010000001001111011000111	100100000010101011001110	111111111111111111101000		0x409ec7	0x902ace	-0x18	
011110000011111110011101	100101111110010001011000	000000000000000000101011		0x783f9d	0x97e458	0x2b	
011010101111011010000001	001010111001011110011011	000000000000000000110000		0x6af681	0x2b979b	0x30	
000010101001110100011100	000101000101001110010110	111111111111111111101001		0xa9d1c	0x145396	-0x17	
011100000111011011001011	011010101001010000010101	000000000000000000000111		0x7076cb	0x6a9415	0x7	
011110001110000001000001	000111010110001010000010	000000000000000000011100		0x78e041	0x1d6282	0x1c	
100000000111100100101001	001000001010000000111011	000000000000000000001000		0x807929	0x20a03b	0x8	
011010110010110111010000	000001010100110100110111	111111111111111111111110		0x6b2dd0	0x54d37	-0x2	
001110111001100111000100	100001101110000011011110	000000000000000000100101		0x3b99c4	0x86e0de	0x25	
000110101111100010101111	001111000100110000100100	000000000000000000101010		0x1af8af	0x3c4c24	0x2a	
000011100100010011100000	001110010100110001011110	111111111111111111101111		0xe44e0	0x394c5e	-0x11	
000010011011001110001100	011010001100101011100111	111111111111111111111010		0x9b38c	0x68cae7	-0x6	
100001100110010100100111	010000101110000111000111	000000000000000000100100		0x866527	0x42e1c7	0x24	
000001001101011110111111	011011001011101000000100	000000000000000000010110		0x4d7bf	0x6cba04	0x16	
100110000011011001110010	011101110000001110110100	000000000000000000011011		0x983672	0x7703b4	0x1b	
001010011010000000100000	100001100000100100011100	000000000000000000011111		0x29a020	0x86091c	0x1f	
011100011001011110101111	000101001111001010001001	111111111111111111010001		0x7197af	0x14f289	-0x2f	
001111100000100110001011	000101000100001101110000	111111111111111111010101		0x3e098b	0x144370	-0x2b	
100101110111010001011000	100011000111010101011111	000000000000000000000000		0x977458	0x8c755f	0x0	
001000101111111110000001	011000111000110101010001	000000000000000000011011		0x22ff81	0x638d51	0x1b	
011101100000011000101010	100011100010011011101000	000000000000000000011110		0x76062a	0x8e26e8	0x1e	
000100000100000111110111	000000011111001100000000	000000000000000000001100		0x1041f7	0x1f300	0xc	
000100001101111011010001	100000000000000011010100	111111111111111111110001		0x10ded1	0x8000d4	-0xf	
010100010100001111101000	011010010000100011100101	111111111111111111101101		0x5143e8	0x6908e5	-0x13	
001110100101001110111111	001000101111011000100111	111111111111111111010110		0x3a53bf	0x22f627	-0x2a	
010100111111101101110010	001011110101001001010110	111111111111111111011011		0x53fb72	0x2f5256	-0x25	
100011001001100001100111	000101010001100110101001	000000000000000000011111		0x8c9867	0x1519a9	0x1f	
011000111000001110101001	100101101010011111100000	111111111111111111110110		0x6383a9	0x96a7e0	-0xa	
011110001110100001010100	011010001110000110011100	000000000000000000010010		0x78e854	0x68e19c	0x12	
010100000001110010111100	011111001110011100100010	000000000000000000100001		0x501cbc	0x7ce722	0x21	
000100001000011100010010	001001011001110000010010	111111111111111111110001		0x108712	0x259c12	-0xf	
000001110011010001001101	011111111111101001010010	000000000000000000010001		0x7344d	0x7ffa52	0x11	
100100100111001000001110	010101010010101010000100	000000000000000000011001		0x92720e	0x552a84	0x19	
000110000010001001101111	011110111001000001110111	111111111111111111100111		0x18226f	0x7b9077	-0x19	
000010100000010101101111	100001111000100101011111	111111111111111111111011		0xa056f	0x87895f	-0x5	
000001010100010101111000	100010000110111110000100	000000000000000000100001		0x54578	0x886f84	0x21	
010000010101001110000010	010010110110101101101111	111111111111111111110011		0x415382	0x4b6b6f	-0xd	
011001000001010010100011	000000011000101100011000	000000000000000000100001		0x6414a3	0x18b18	0x21	
001110101100101010111010	011100100000000001001100	111111111111111111110110		0x3acaba	0x72004c	-0xa	
010111111001000110010011	000111010111101101100011	000000000000000000101111		0x5f9193	0x1d7b63	0x2f	
010110001110111011010100	011110101110000000010000	000000000000000000101111		0x58eed4	0x7ae010	0x2f	
011110101111011010100111	011000010000100111000101	111111111111111111110011		0x7af6a7	0x6109c5	-0xd	
100010011101110110110111	000111100000011000011110	111111111111111111100000		0x89ddb7	0x1e061e	-0x20	
011110001110000110110111	011001000101001111001100	000000000000000000000001		0x78e1b7	0x6453cc	0x1	
100011101110100111110011	001000110111001110001110	000000000000000000000001		0x8ee9f3	0x23738e	0x1	
010001011000001111000101	011001101100011110010000	111111111111111111100111		0x4583c5	0x66c790	-0x19	
001101011101000001100001	100001111011110101110010	111111111111111111011111		0x35d061	0x87bd72	-0x21	
001100000111100101101111	010000001010101100001011	000000000000000000010000		0x30796f	0x40ab0b	0x10	
000011010001100101001000	011011000011101101001101	000000000000000000010001		0xd1948	0x6c3b4d	0x11	
001000100101100001100110	000000000000000000100111	000000000000000000000100		0x225866	0x27	0x4	
